champion_id,champion_name,play,win,win_rate,pick_rate,ban_rate,kda
1,Annie,43315,22458,0.518481,0.0351282,0.0125054,2.255981
2,Olaf,26149,13769,0.526559,0.0212067,0.0138256,1.862136
3,Galio,69696,35447,0.508594,0.056523,0.0324134,2.725486
4,Twisted Fate,127356,65233,0.51221,0.103285,0.117367,2.477868
5,Xin Zhao,82488,41896,0.507904,0.0668973,0.0426356,2.538021
6,Urgot,35544,18596,0.523183,0.028826,0.00835405,1.994263
7,LeBlanc,74994,38098,0.508014,0.0608197,0.214153,2.802559
8,Vladimir,94780,48515,0.51187,0.076866,0.105029,2.218905
9,Fiddlesticks,52122,27230,0.522428,0.0422706,0.0329734,2.589003
10,Kayle,65227,34193,0.524215,0.0528987,0.045944,1.832495
11,Master Yi,55282,28441,0.514471,0.0448334,0.0785215,2.19228
12,Alistar,79551,40461,0.508617,0.0645154,0.0271136,2.620891
13,Ryze,52766,25848,0.489861,0.0427929,0.00686685,2.13646
14,Sion,67456,33668,0.499111,0.0547064,0.00981278,1.850722
15,Sivir,133652,70013,0.523845,0.108391,0.0633247,2.602915
16,Soraka,65569,33712,0.514145,0.0531761,0.0245938,2.919631
17,Teemo,47068,24053,0.511027,0.0381719,0.0410004,1.794306
18,Tristana,97807,50057,0.511794,0.0793209,0.0505972,2.393191
19,Warwick,69671,36777,0.527867,0.0565028,0.0491887,2.21415
20,Nunu & Willump,35192,17967,0.510542,0.0285405,0.00666994,2.798983
21,Miss Fortune,85057,43334,0.50947,0.0689807,0.0125601,2.417584
22,Ashe,79835,40124,0.502587,0.0647457,0.0147374,2.246137
23,Tryndamere,31506,15821,0.502158,0.0255512,0.0173163,1.662887
24,Jax,108154,55020,0.508719,0.0877122,0.0901975,1.78375
25,Morgana,61996,31451,0.507307,0.0502784,0.112985,2.695336
26,Zilean,43662,22789,0.521941,0.0354096,0.0138883,3.381376
27,Singed,26184,13485,0.515009,0.0212351,0.00431984,1.937284
28,Evelynn,33576,17203,0.51236,0.0272299,0.0380328,2.938633
29,Twitch,64593,33067,0.511929,0.0523845,0.0458525,2.324304
30,Karthus,29031,14551,0.501223,0.023544,0.0258332,2.32987
31,Cho'Gath,52051,26828,0.515418,0.042213,0.0100386,2.03595
32,Amumu,28424,14241,0.50102,0.0230517,0.013135,2.416467
33,Rammus,20608,10511,0.510045,0.016713,0.0286094,3.104534
34,Anivia,33887,17612,0.519727,0.0274821,0.0190897,2.665291
35,Shaco,88143,44644,0.506495,0.0714834,0.266054,2.711696
36,Dr. Mundo,112980,56556,0.500584,0.0916261,0.151576,1.901502
37,Sona,39050,20501,0.524994,0.0316693,0.00258277,3.044812
38,Kassadin,32407,16198,0.49983,0.0262819,0.0251127,2.404817
39,Irelia,87323,44376,0.508182,0.0708184,0.137221,1.56065
40,Janna,61307,31989,0.521784,0.0497196,0.0162921,3.382523
41,Gangplank,65072,32999,0.507115,0.052773,0.0490251,2.179247
42,Corki,46052,22411,0.486646,0.0373479,0.0056094,2.346268
43,Karma,124944,62958,0.50389,0.101329,0.0547225,2.787704
44,Taric,15924,8268,0.519216,0.0129143,0.00181379,2.815174
45,Veigar,48800,24705,0.50625,0.0395765,0.00571864,2.253797
48,Trundle,81329,42220,0.519126,0.0659573,0.0263627,2.255421
50,Swain,48524,24616,0.507295,0.0393527,0.00810718,2.502382
51,Caitlyn,149716,74478,0.497462,0.121419,0.131218,2.098939
53,Blitzcrank,61797,31210,0.505041,0.050117,0.126202,2.575332
54,Malphite,72351,37688,0.520905,0.0586762,0.087804,2.495587
55,Katarina,77808,39958,0.513546,0.0631018,0.06971,2.421379
56,Nocturne,84871,43860,0.516784,0.0688299,0.123382,2.779259
57,Maokai,28360,14283,0.503632,0.0229998,0.0022162,2.474476
58,Renekton,89628,45129,0.503515,0.0726878,0.0581251,1.872967
59,Jarvan IV,95239,49094,0.515482,0.0772382,0.0305459,3.347233
60,Elise,60467,30725,0.508128,0.0490384,0.0535325,2.493106
61,Orianna,72380,36258,0.500939,0.0586997,0.0141441,2.619706
62,Wukong,57203,29288,0.512001,0.0463913,0.0154052,2.621303
63,Brand,30428,14939,0.490962,0.0246769,0.0115205,1.963673
64,Lee Sin,211974,107496,0.507119,0.17191,0.202335,2.952007
67,Vayne,102182,52462,0.513417,0.082869,0.0427527,2.047287
68,Rumble,27109,12953,0.477812,0.0219852,0.00589349,2.022871
69,Cassiopeia,25491,13154,0.516025,0.020673,0.0127019,1.944302
72,Skarner,9913,4550,0.458993,0.00803938,0.00538532,2.952319
74,Heimerdinger,21624,11317,0.523354,0.0175369,0.0124857,1.783737
75,Nasus,46526,23533,0.505803,0.0377323,0.0346351,1.940383
76,Nidalee,73247,36167,0.493768,0.0594029,0.0236414,2.85542
77,Udyr,40922,20112,0.491472,0.0331875,0.0279074,2.293954
78,Poppy,68296,35279,0.51656,0.0553876,0.0682901,2.374106
79,Gragas,69405,35358,0.509445,0.056287,0.0177813,2.343828
80,Pantheon,160277,81322,0.507384,0.129984,0.117113,2.498454
81,Ezreal,175629,84341,0.480223,0.142434,0.0484268,2.47554
82,Mordekaiser,74409,38603,0.518795,0.0603452,0.0622016,1.85177
83,Yorick,42918,21642,0.504264,0.0348062,0.116341,1.714804
84,Akali,102375,51971,0.507653,0.0830255,0.102794,2.345686
85,Kennen,41986,21925,0.522198,0.0340504,0.0211901,2.034822
86,Garen,53182,26877,0.505378,0.0431303,0.0232586,1.910712
89,Leona,70201,35768,0.509508,0.0569326,0.0461086,2.538934
90,Malzahar,69749,35849,0.513972,0.056566,0.0708036,2.146928
91,Talon,78729,39689,0.504122,0.0638487,0.078135,2.512226
92,Riven,63454,33057,0.52096,0.0514608,0.0384324,1.900034
96,Kog'Maw,25606,13610,0.531516,0.0207663,0.00601133,2.143802
98,Shen,71885,36955,0.514085,0.0582983,0.0356879,2.794759
99,Lux,116930,58710,0.502095,0.0948295,0.0326102,2.577795
101,Xerath,94048,47935,0.509687,0.0762723,0.0517355,2.872785
102,Shyvana,18419,8870,0.481568,0.0149377,0.00240687,2.29998
103,Ahri,101872,50330,0.494051,0.0826176,0.028188,2.570939
104,Graves,71431,35430,0.496003,0.0579301,0.045673,2.511097
105,Fizz,34696,17495,0.504237,0.0281382,0.0311252,2.302502
106,Volibear,83439,42704,0.511799,0.0676685,0.0444599,2.140278
107,Rengar,46061,23050,0.500423,0.0373552,0.051976,2.368459
110,Varus,91022,43718,0.480301,0.0738183,0.0176012,2.173938
111,Nautilus,114436,56869,0.49695,0.0928069,0.134557,2.45185
112,Viktor,78932,39317,0.498112,0.0640134,0.0414657,2.196655
113,Sejuani,25095,12211,0.486591,0.0203519,0.00295048,3.066183
114,Fiora,58364,29888,0.512097,0.0473328,0.0697489,1.530243
115,Ziggs,20638,10294,0.498789,0.0167373,0.00197063,2.430518
117,Lulu,162221,83215,0.512973,0.13156,0.211681,3.256691
119,Draven,51704,25577,0.494681,0.0419316,0.190314,2.032418
120,Hecarim,50879,25448,0.500167,0.0412626,0.0456095,2.869863
121,Kha'Zix,89573,45979,0.513313,0.0726432,0.056762,2.657221
